Key,File,Type,english,japanese
AmeliasT1,WhiteRiverToC_Amelias_Gyrocopter,progression,Amelia Earhart's,アメリア・イアハート
AmeliasT2,WhiteRiverToC_Amelias_Gyrocopter,progression,Amelia Earhart's,アメリア・イアハート
AmeliasT5,WhiteRiverToC_Amelias_Gyrocopter,progression,Amelia Earhart's,アメリア・イアハート
attgeneral,WhiteRiverToC_zPOWER_UP_KIT,,General,一般
attGeneralDesc,WhiteRiverToC_zPOWER_UP_KIT,progression,"General Perk has been changed to the ""General Skills"" category. It can be leveled up regardless of the parent skill, but requires 3p per level.",一般パークは「一般スキル」カテゴリに変更しました。親スキルに関係なくレベルアップできますが、1レベルにつき3P必要です。
attGeneralName,WhiteRiverToC_zPOWER_UP_KIT,progression,General Perks,一般パーク
attunlocks,Unlock Tracker,,Unlock Tracker,アンロックトラッカー
attUnlocksDesc,WhiteRiverToC_zPOWER_UP_KIT,progression,Check the items you have unlocked.,アンロックしたアイテムを確認しましょう。
attUnlocksDesc,,,Check items what you unlocked.,アンロックしたアイテムを確認しましょう。
attUnlocksDescRank1Desc,WhiteRiverToC_zPOWER_UP_KIT,progression,Craft will be unlocked.,クラフトがアンロックされます。
attUnlocksDescRank1Desc,,,Unlock crafting,アイテムのアンロック
attUnlocksName,WhiteRiverToC_zPOWER_UP_KIT,progression,Unlock Tracker,アンロックトラッカー
attUnlocksName,,,Unlock Tracker,アンロックトラッカー
BackpackAdvancedAgility,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Agility""",職業用バックパック「上級: 素早さ」
BackpackAdvancedAgilityBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Agility""",職業用バックパック「上級: 素早さ」
BackpackAdvancedAgilityDesc,WhiteRiverToC_zPOWER_UP_KIT,items,Capacity: [00FF00]+30[-]\nGeneral Skills: [00FF00]Available[-]\nCombat Skills: [00FF00]+3 Agility[-]\nCan use Items: [FF0000]Agility ONLY[-]\nUnlocks: [00FF00]Agility[-]\nCraft Tier: [00FF00]+1 Agility[-],運搬: [00FF00]+30[-]\n一般スキル: [00FF00]使用可[-]\n戦闘特殊技能: [00FF00]+3 素早さ[-]\n使用可能アイテム: [FF0000]素早さ ONLY[-]\nアンロック: [00FF00]素早さ[-]\nクラフトティア: [00FF00]+1 素早さ[-]
BackpackAdvancedFortitude,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Fortitude""",職業用バックパック「上級: 忍耐」
BackpackAdvancedFortitudeBlock,WhiteRiverToC_zPOWER_UP_KIT,progression,"Class backpack ""Advanced: Fortitude""",職業用バックパック「上級: 忍耐」
